Date,Open,High,Low,Close,Volume,Adj Close
2008-02-25,71.33,71.93,70.96,71.59,4681000,61.20
2008-02-22,71.39,71.49,70.54,71.38,4771900,61.02
2008-02-21,71.50,71.68,70.83,71.08,5531400,60.77
2008-02-20,71.96,71.96,70.10,71.12,5848300,60.80
2008-02-19,72.50,72.50,71.09,71.14,4920800,60.82
2008-02-15,71.50,71.77,71.17,71.73,5963300,61.32
2008-02-14,71.79,72.14,71.20,71.57,7899600,61.19
2008-02-13,72.37,72.75,71.42,71.63,6603300,61.24
2008-02-12,71.31,72.24,70.96,71.96,6635300,61.52
2008-02-11,69.93,71.20,69.30,70.96,6934800,60.66
2008-02-08,70.38,70.56,69.50,69.81,6044800,59.68
2008-02-07,68.70,70.53,67.80,70.41,15291100,60.19
2008-02-06,68.38,68.38,66.32,66.73,14149600,57.05
2008-02-05,68.14,68.64,67.41,67.95,8681400,58.09
2008-02-04,68.85,69.34,68.53,69.22,5598600,59.18
2008-02-01,68.34,69.08,67.98,68.83,7728300,58.84
2008-01-31,67.15,68.49,66.30,68.05,13195200,58.18
2008-01-30,68.12,68.76,67.20,67.39,8292500,57.61
2008-01-29,70.26,70.57,68.30,68.63,9401000,58.67
2008-01-28,68.95,70.31,68.61,70.27,6940700,60.07
2008-01-25,69.87,70.48,68.70,68.92,8446300,58.92
2008-01-24,70.29,70.67,69.55,69.73,8466700,59.61
2008-01-23,68.51,70.92,67.71,70.50,12136600,60.27
2008-01-22,68.00,70.00,67.37,69.44,14039600,59.36
2008-01-18,72.54,73.16,70.95,71.46,8986000,61.09
2008-01-17,73.70,73.70,71.84,72.10,10016800,61.64
2008-01-16,74.35,74.85,73.28,73.54,9636900,62.87
2008-01-15,76.02,76.55,74.71,74.83,9342100,63.97
2008-01-14,78.25,78.39,76.65,76.92,7762500,65.76
2008-01-11,79.01,79.17,76.69,77.78,8061200,66.49
2008-01-10,78.74,79.79,78.22,79.57,7874900,68.02
2008-01-09,78.00,79.32,77.98,78.74,9288800,67.32
2008-01-08,77.85,78.99,77.17,77.94,7153800,66.63
2008-01-07,75.86,77.44,75.70,77.32,7584800,66.10
2008-01-04,75.29,76.40,75.29,75.55,5493200,64.59
2008-01-03,75.39,76.84,75.29,75.78,4728400,64.78
2008-01-02,76.41,76.41,74.71,75.29,4899100,64.37
2007-12-31,76.93,76.93,75.75,75.90,3707600,64.89
2007-12-28,77.00,77.32,76.57,77.03,2418600,65.85
2007-12-27,77.00,77.86,76.59,76.70,3429200,65.57
2007-12-26,77.98,77.98,76.92,77.28,3244500,66.07
2007-12-24,77.35,78.00,77.01,77.71,1444900,66.43
2007-12-21,77.82,77.88,76.77,77.35,7732500,66.13
2007-12-20,77.20,77.22,76.11,76.49,4365200,65.39
2007-12-19,77.19,77.39,76.32,76.79,5039400,65.65
2007-12-18,78.08,78.08,76.52,77.02,7384200,65.84
2007-12-17,78.89,78.89,77.20,77.37,5968700,66.14
2007-12-14,78.59,79.00,78.37,78.46,6740700,67.08
2007-12-13,78.30,78.78,77.53,78.69,4995600,67.27
2007-12-12,77.76,78.57,77.20,78.09,7472100,66.76
2007-12-11,77.50,78.09,76.34,76.48,5377900,65.38
2007-12-10,77.37,77.57,76.91,77.28,3942100,66.07
2007-12-07,77.17,77.75,76.91,77.00,3359900,65.83
2007-12-06,76.24,77.17,76.04,77.03,3788500,65.85
2007-12-05,75.81,76.79,75.62,76.27,6580300,65.20
2007-12-04,76.28,77.00,76.24,76.65,4260500,65.21
2007-12-03,77.51,77.51,76.37,76.58,4424500,65.15
2007-11-30,76.72,77.18,76.04,77.18,7287700,65.66
2007-11-29,77.07,77.07,76.09,76.54,4523000,65.11
2007-11-28,76.09,77.41,75.47,77.16,6729800,65.64
2007-11-27,75.16,76.13,74.44,75.92,6342300,64.59
2007-11-26,75.66,76.41,74.51,74.69,6032900,63.54
2007-11-23,75.69,75.69,74.76,75.51,2283400,64.24
2007-11-21,74.42,76.29,74.42,75.04,7706300,63.84
2007-11-20,75.00,75.58,73.97,74.84,8165000,63.67
2007-11-19,73.83,75.40,73.55,75.08,7842900,63.87
2007-11-16,74.21,74.39,73.16,74.15,6092900,63.08
2007-11-15,73.91,74.86,73.38,73.58,5205200,62.60
2007-11-14,73.90,74.96,72.86,74.06,6225000,63.00
2007-11-13,73.19,73.42,72.10,73.34,5741400,62.39
2007-11-12,73.20,73.69,72.50,72.57,4951000,61.74
2007-11-09,73.60,74.23,72.81,73.48,6694900,62.51
2007-11-08,72.40,73.75,72.00,73.50,6819000,62.53
2007-11-07,73.32,73.32,72.19,72.34,4909100,61.54
2007-11-06,72.82,73.89,72.76,73.49,4810600,62.52
2007-11-05,73.56,73.56,72.62,72.76,6661600,61.90
2007-11-02,73.63,73.63,72.37,72.98,5073000,62.09
